,request_id,orig_id,rq_time,start,end
0,0,39,70.0,114966,37651
1,1,71,154.0,37228,114955
2,2,116,266.0,128660,84429
3,3,183,412.0,117162,108501
4,4,190,427.0,79686,74227
5,5,271,600.0,82524,137789
6,6,340,715.0,123724,35761
7,7,398,817.0,124026,122365
8,8,410,832.0,92420,121973
9,9,481,980.0,7548,23615
10,10,491,1016.0,73196,118845
11,11,509,1074.0,46596,93689
12,12,526,1135.0,16044,124831
13,13,544,1213.0,80202,31965
14,14,547,1222.0,33140,118291
15,15,624,1491.0,100974,33797
16,16,675,1701.0,41282,61399
17,17,721,1910.0,121186,18709
18,18,739,2004.0,112072,29793
19,19,831,2425.0,57318,50515
20,20,875,2639.0,88822,95545
21,21,1090,3591.0,139594,65171
22,22,1092,3603.0,114360,138157
23,23,1120,3718.0,118056,123351
24,24,1274,4502.0,141700,42017
25,25,1352,4838.0,75166,130953
26,26,1465,5261.0,75458,2889
27,27,1466,5267.0,88868,125217
28,28,1526,5504.0,96322,60511
29,29,1535,5548.0,131886,104731
30,30,1563,5628.0,21114,123965
31,31,1589,5703.0,39272,77371
32,32,1727,6236.0,42602,124551
33,33,1916,6887.0,52194,131351
34,34,1929,6918.0,98368,5261
35,35,1972,7020.0,39212,69863
36,36,1981,7054.0,20656,43565
37,37,2033,7227.0,9644,97071
38,38,2055,7271.0,25024,50777
39,39,2067,7295.0,37942,73445
40,40,2104,7400.0,109866,141893
41,41,2119,7436.0,100694,54071
42,42,2168,7543.0,80958,125535
43,43,2200,7612.0,127840,83209
44,44,2220,7651.0,139122,103913
45,45,2229,7662.0,143076,131685
46,46,2263,7740.0,38412,106849
47,47,2314,7832.0,28748,60359
48,48,2324,7845.0,107480,8991
49,49,2326,7855.0,16874,51399
50,50,2363,7936.0,50366,54913
51,51,2449,8112.0,86280,110211
52,52,2542,8300.0,103906,139121
53,53,2560,8355.0,142792,12425
54,54,2643,8594.0,117224,89893
55,55,2715,8838.0,65830,124171
56,56,2762,8993.0,133422,116737
57,57,2865,9233.0,71928,71203
58,58,2907,9340.0,126778,97855
59,59,2976,9458.0,10002,129045
60,60,2984,9474.0,88602,86249
61,61,3081,9629.0,21468,109709
62,62,3084,9642.0,4108,129565
63,63,3192,9839.0,84448,54423
64,64,3200,9846.0,51144,107375
65,65,3211,9858.0,75798,141585
66,66,3259,9928.0,36642,104433
67,67,3299,9985.0,85578,24723
68,68,3317,10016.0,34698,87803
69,69,3331,10027.0,72706,85647
70,70,3362,10077.0,9596,56497
71,71,3378,10106.0,117824,33141
72,72,3385,10121.0,32406,3969
73,73,3404,10150.0,93228,84721
74,74,3472,10242.0,47664,55341
75,75,3478,10245.0,112482,93231
76,76,3610,10451.0,113870,115451
77,77,3628,10478.0,113830,116957
78,78,3679,10559.0,28150,106871
79,79,3690,10577.0,122876,120729
80,80,3865,10846.0,123116,18927
81,81,3887,10877.0,119890,108765
82,82,3929,10948.0,86246,65517
83,83,3981,11030.0,37938,116377
84,84,4112,11234.0,106688,133011
85,85,4153,11291.0,18552,93573
